Price_USD,Comuna,Dorms,Baths,Built Area,Total Area,Parking
69738,PuenteAlto,3,2.0,100.0,100.0,1.0
1196675,Colina,5,1.0,450.0,5000.0,
1263157,LoBarnechea,5,4.0,300.0,1000.0,5.0
554016,LasCondes,3,2.0,115.0,250.0,
644210,Vitacura,5,1.0,15951.0,250.0,3.0
593861,Ñuñoa,4,3.0,167.0,599.0,
130760,EstaciónCentral,2,2.0,107.0,110.0,1.0
412188,Providencia,5,3.0,146.0,213.0,
248332,Maipú,3,1.0,174.0,314.0,
176842,Maipú,5,2.0,92.0,120.0,2.0
850260,Ñuñoa,5,3.0,229.0,317.0,
332454,Colina,5,4.0,146.0,393.0,
232997,Recoleta,3,1.0,273.0,273.0,
172454,Independencia,3,2.0,104.0,95.0,
1108032,Curacaví,7,4.0,787.0,47800.0,
243767,LoPrado,4,1.0,170.0,230.0,
1037118,LoBarnechea,4,3.0,200.0,700.0,3.0
223158,SanMiguel,3,2.0,133.0,256.0,3.0
952908,Vitacura,4,4.0,225.0,504.0,
952908,Vitacura,4,4.0,225.0,504.0,4.0
2083101,Vitacura,4,5.0,300.0,2400.0,4.0
1861494,LoBarnechea,6,5.0,504.0,1669.0,
5983375,LasCondes,10,12.0,2400.0,5061.0,15.0
2437671,LoBarnechea,5,3.0,517.0,2977.0,5.0
611634,Talagante,5,4.0,261.0,5000.0,
1232877,Talagante,8,7.0,620.0,5000.0,12.0
3324097,Vitacura,8,5.0,873.0,10806.0,
4299166,LoBarnechea,5,4.0,400.0,2781.0,
1232132,LoBarnechea,4,4.0,337.0,809.0,3.0
673684,LoBarnechea,5,3.0,153.0,193.0,2.0
731301,LoBarnechea,5,4.0,171.0,434.0,3.0
1063711,LoBarnechea,6,5.0,260.0,1000.0,4.0
1152354,LoBarnechea,5,4.0,395.0,1050.0,4.0
2171743,Vitacura,7,6.0,440.0,1100.0,5.0
642659,Providencia,3,3.0,230.0,528.0,4.0
620498,LasCondes,6,5.0,170.0,350.0,4.0
514127,Pudahuel,4,2.0,140.0,780.0,3.0
289861,Pudahuel,3,3.0,112.0,261.0,2.0
421052,LaCisterna,5,5.0,490.0,500.0,
819944,LasCondes,6,4.0,220.0,265.0,2.0
