price_usd;comuna;habitaciones;banio;area_construida;area_total
365651;Colina;3;3;104;284
1374004;Colina;5;5;580;4000
398892;Colina;3;3;165;450
709185;Colina;3;2;164;620
881994;Colina;5;5;404;5595
549141;Colina;4;5;175;800
970636;Colina;7;6;5000;5000
1174514;Colina;4;4;350;930
464930;Colina;4;4;140;393
1218836;Colina;6;5;387;3500
551800;Colina;4;4;173;386
709141;Colina;5;5;285;5000
100787;Colina;3;1;75;140
553573;Colina;4;4;149;397
762326;Colina;5;4;224;1122
155666;Colina;4;2;64;140
62267;Colina;2;1;42;128
671468;Colina;3;3;170;662
571745;Colina;2;3;173;650
376731;Colina;4;;;0
221163;Colina;3;2;95;414
503047;Colina;3;2;125;350
704709;Colina;6;6;250;1050
1108032;Colina;4;4;450;4750
62267;Colina;3;1;130;90
423268;Colina;3;3;135;400
585041;Colina;4;4;140;463
797783;Colina;4;4;192;600
660387;Colina;5;5;280;5000
13697;Colina;3;3;120;350
726869;Colina;4;4;309;5373
1595567;Colina;4;4;327;10153
908587;Colina;9;7;415;5000
1285318;Colina;5;4;378;6298
1240996;Colina;5;5;467;5075
881994;Colina;3;4;210;810
1861494;Colina;5;5;252;5000
566869;Colina;4;4;160;460
704709;Colina;3;3;210;5000
619612;Colina;3;3;170;400
1462603;Colina;5;5;380;2800
69738;Colina;5;1;38;118
474238;Colina;3;3;230;7900
673684;Colina;3;3;190;705
52304;Colina;2;1;69;60
664819;Colina;5;5;173;440
93400;Colina;3;2;75;95
311800;Colina;3;2;107;344
1267589;Colina;4;4;800;5000
1325207;Colina;4;4;380;2500
1329639;Colina;5;4;420;2600
442770;Colina;3;3;130;480
460941;Colina;4;3;125;385
1307478;Colina;6;6;633;5054
1041550;Colina;5;4;251;4300
514127;Colina;3;3;139;500
195014;Colina;3;2;80;80
224159;Colina;3;2;72;1300
70984;Colina;2;2;54;85
68493;Colina;3;1;54;85
398892;Colina;3;3;140;480
675900;Colina;5;5;300;5500
1240996;Colina;5;4;400;2600
180573;Colina;4;2;120;120
881994;Colina;6;6;350;4500
398448;Colina;3;3;130;350
921883;Colina;4;3;262;550
396676;Colina;5;4;222;222
49813;Colina;2;1;70;108
576177;Colina;3;3;140;400
